"","h2","mutualistic_strength","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"118",0.4,0.75,40,"high",1,17.7344484390716,16.4129377371747,16.7433154126489,-7.84456441167584e-09,-2.21630917136944e-08,-3.00076561253702e-08,0,0,0,0,0
"119",0,1,40,"high",1,17.8736319072777,17.8649336237383,17.8671081946231,-1.37453566358504e-08,-4.02614851317634e-08,-5.40068417676138e-08,0,0,0,0,0
"120",0.4,1,40,"high",1,18.1613231466972,17.679167110183,17.7997061193116,-7.35679493585692e-09,-2.16498869562819e-08,-2.90066818921388e-08,0,0,0,0,0
"121",0,1.25,40,"high",1,16.4913369115675,18.292621144598,17.8423000863404,-1.86771388873672e-08,-5.99394681018335e-08,-7.86166069892007e-08,0,0,0,0,0
"122",0.4,1.25,40,"high",1,16.9635340991557,20.2223863855949,19.4076733139851,-1.4402809437864e-08,-3.50179534090266e-08,-4.94207628468906e-08,0,0,0,0,0
"123",0,1.5,40,"high",1,17.8358194418252,16.6608057431101,16.9545591677888,-2.26541203245371e-08,-6.92917049189297e-08,-9.19458252434668e-08,0,0,0,0,0
"124",0.4,1.5,40,"high",1,17.9596780116372,16.1723817740588,16.6192058334534,-9.50894261152962e-09,-3.79436886657916e-08,-4.74526312773212e-08,0,0,0,0,0
"125",0,1.75,40,"high",1,17.0894454966765,18.5267024541584,18.1673882147879,-1.90926533983302e-08,-7.26769557914835e-08,-9.17696091898138e-08,0,0,0,0,0
"126",0.4,1.75,40,"high",1,17.2012569465223,19.6291076107124,19.0221449446649,-8.84850246073208e-09,-7.60219219817122e-09,-1.64506946589033e-08,0,0,0,0,0
"127",0,2,40,"high",1,18.4814594819909,17.721311331843,17.91134836938,-1.07659896706732e-08,-2.97402675690881e-08,-4.05062572397613e-08,0,0,0,0,0
"128",0.4,2,40,"high",1,17.0117440675431,17.0117440675433,17.0117440675433,31.0566490942313,70.3639157849224,101.420564879154,6,18,24,0,0
"129",0,2.25,40,"high",1,18.1904305447824,17.0199419814162,17.3125641222578,5.55185330659235,16.3720178420696,21.9238711486619,6,16,22,0,0
"130",0.4,2.25,40,"high",1,15.9889367778561,15.1273617662342,15.3427555191397,17.9659929878426,39.818314516931,57.7843075047736,4,11,15,0,0
"131",0,2.5,40,"high",1,19.8735080962069,15.7196167862276,16.7580896137224,10.7598791386797,33.7403878222999,44.5002669609796,6,16,22,0,0
"132",0.4,2.5,40,"high",1,15.3751491556255,15.3751491556255,15.3751491556255,39.6095971500302,82.0062665385024,121.615863688533,6,18,24,0,0
"133",0,2.75,40,"high",1,16.5223528211936,17.9056676073621,17.55983891082,12.8046321382224,27.0770219680052,39.8816541062276,6,17,23,0,0
"134",0.4,2.75,40,"high",1,18.8180965376252,18.8180965376251,18.8180965376251,43.0477990778375,85.8938895667046,128.941688644542,6,18,24,0,0
"135",0,3,40,"high",1,16.8700994452229,18.5163865923338,18.1048148055561,14.0314211668162,27.0662179453298,41.097639112146,5,12,17,0,0
"136",0.4,3,40,"high",1,20.7854141968842,20.7854141968842,20.7854141968842,46.0814926931033,88.9810094522443,135.062502145348,6,18,24,0,0
"137",0,3.25,40,"high",1,18.9922856813064,17.4799390078988,17.8580256762507,14.533234273618,34.1631586449552,48.6963929185732,4,15,19,0,0
"138",0.4,3.25,40,"high",1,17.2154520762336,17.2154520762336,17.2154520762336,48.7949389086408,91.4892473725278,140.284186281169,6,18,24,0,0
"139",0,3.5,40,"high",1,17.198371301638,15.9325232721555,16.2489852795261,15.3670584216983,34.9808392916901,50.3478977133884,6,17,23,0,0
"140",0.4,3.5,40,"high",1,18.4169305322181,18.416930532218,18.4169305322181,51.2397505567055,93.557453115258,144.797203671964,6,18,24,0,0
"141",0,3.75,40,"high",1,18.5919270286104,17.6833537882582,17.9104970983462,28.5061251213927,59.164820872984,87.6709459943767,6,17,23,0,0
"142",0.4,3.75,40,"high",1,16.3377504454281,16.3377504454281,16.3377504454281,53.4894296686617,95.3117187862781,148.80114845494,6,18,24,0,0
"143",0,4,40,"high",1,20.227329111076,17.1674200426787,17.932397309778,28.6003019407184,50.4346234301101,79.0349253708285,6,17,23,0,0
"144",0.4,4,40,"high",1,19.554001322006,19.5540013220061,19.5540013220061,55.5631596330845,96.8102138643794,152.373373497464,6,18,24,0,0
"145",0,4.25,40,"high",1,19.9928197293775,17.9698071960593,18.4755603293888,14.8713511650495,30.8674138176958,45.7387649827454,6,18,24,0,0
"146",0.4,4.25,40,"high",1,17.6739154352074,17.6739154352073,17.6739154352073,57.4544749153516,98.0862924040119,155.540767319364,6,18,24,0,0
"147",0,4.5,40,"high",1,19.772345701931,16.466586489502,17.2930262926093,26.1932435356129,51.0413441132485,77.2345876488613,6,15,21,0,0
"148",0.4,4.5,40,"high",1,16.9012533052196,16.9012533052195,16.9012533052196,59.2104411174926,99.1942162926639,158.404657410157,6,18,24,0,0
"149",0,4.75,40,"high",1,13.9059931336669,18.1299204926472,17.0739386529021,34.5299335653728,66.6230525041101,101.152986069483,6,18,24,0,0
"150",0.4,4.75,40,"high",1,18.1197784300902,18.1197784300902,18.1197784300902,60.8506083347077,100.1675986183,161.018206953008,6,18,24,0,0
"151",0,5,40,"high",1,15.0308795226738,16.1099293872636,15.8401669211162,37.8944024703057,74.2296484478644,112.12405091817,6,17,23,0,0
"152",0.4,5,40,"high",1,18.8613631699663,18.8613631699661,18.8613631699662,62.3868682893776,101.03009533961,163.416963628987,6,18,24,0,0
